22.1.2009;651
22.2.2009;866
22.3.2009;1048
22.4.2009;1130
22.5.2009;1175
22.6.2009;1212
22.7.2009;1245
22.8.2009;1274
22.9.2009;1307
22.10.2009;1373
22.11.2009;1404
22.12.2009;1469
22.1.2010;1697
22.2.2010;1942
22.3.2010;2051
22.4.2010;2141
22.5.2010;2187
22.6.2010;2222
22.7.2010;2255
22.8.2010;2289
22.9.2010;2327
22.10.2010;2362
22.11.2010;2400
22.12.2010;2600
22.1.2011;2806
22.2.2011;3035
22.3.2011;3182
22.4.2011;3265
22.5.2011;3310
22.6.2011;3345
22.7.2011;3378
22.8.2011;3412
22.9.2011;3450
22.10.2011;3500
22.11.2011;3647
22.12.2011;3797
22.1.2012;4000
22.2.2012;4242
22.3.2012;4380
22.4.2012;4473
22.5.2012;4509
22.6.2012;4543
22.7.2012;4578
22.8.2012;4610
22.9.2012;4642
22.10.2012;4675
22.11.2012;4710
22.12.2012;4862
22.1.2013;5065
22.2.2013;5280
22.3.2013;5420
22.4.2013;5555
22.5.2013;5590
22.6.2013;5625
22.7.2013;5665
22.8.2013;5700
22.9.2013;5735
22.10.2013;5800
22.11.2013;5850
22.12.2013;6067
22.1.2014;6210
22.2.2014;6381
22.3.2014;6474
22.4.2014;6551
22.5.2014;6600
22.6.2014;6631
22.7.2014;6662
22.8.2014;6693
22.9.2014;6725
22.10.2014;6760
22.11.2014;6855
22.12.2014;7000
22.1.2015;7181
22.2.2015;7363
22.3.2015;7491
22.4.2015;7603
22.5.2015;7641
22.6.2015;7676
22.7.2015;7706
22.8.2015;7734
22.9.2015;7764
22.10.2015;7819
22.11.2015;7927
22.12.2015;8082
22.1.2016;8277
22.2.2016;8437
22.3.2016;8570
22.4.2016;8651
22.5.2016;8705
22.6.2016;8739
22.7.2016;8768
22.8.2016;8801
22.9.2016;8835
22.10.2016;8870
22.11.2016;8996
22.12.2016;9165
22.1.2017;9387
22.2.2017;9585
22.3.2017;9700
22.4.2017;9795
22.5.2017;9854
22.6.2017;9887
22.7.2017;9917
22.8.2017;9948
22.9.2017;9979
22.10.2017;10012
22.11.2017;10116
22.12.2017;10280
22.1.2018;10442
22.2.2018;10621
22.3.2018;10790
22.4.2018;10873
22.5.2018;10907
22.6.2018;10937
22.7.2018;10969
22.8.2018;10999
22.9.2018;11028
22.10.2018;11072
22.11.2018;11163
22.12.2018;11346
22.1.2019;11541
22.2.2019;11729
22.3.2019;11850
22.4.2019;11926
22.5.2019;11994
22.6.2019;12031
22.7.2019;12063
22.8.2019;12094
22.9.2019;12126
22.10.2019;12173
22.11.2019;12269
22.12.2019;12425
22.1.2020;12618
22.2.2020;12786
22.3.2020;12907
22.4.2020;13005
22.5.2020;13060
22.6.2020;13099
22.7.2020;13134
22.8.2020;13169
22.9.2020;13203
22.10.2020;13267
22.11.2020;13371
22.12.2020;13529
22.1.2021;13723
22.2.2021;13931
22.3.2021;14075
22.4.2021;14196
22.5.2021;14255
22.6.2021;14292
22.7.2021;14319
22.8.2021;14347
22.9.2021;14378
22.10.2021;14433
22.11.2021;14554
22.12.2021;14731
22.1.2022;14931
22.2.2022;15101
22.3.2022;15243
22.4.2022;15350
22.5.2022;15391
22.6.2022;15422
22.7.2022;15448
22.8.2022;15475
12.9.2022;15493;0
22.9.2022;10
22.10.2022;53
22.11.2022;149
22.12.2022;321
22.1.2023;482
22.2.2023;670
22.3.2023;796
22.4.2023;899
22.5.2023;944
22.6.2023;974
22.7.2023;1000
22.8.2023;1027
22.9.2023;1055
22.10.2023;1085
22.11.2023;1169
22.12.2023;1350
22.1.2024;1533
22.2.2024;1678
22.3.2024;1775
22.4.2024;1836
22.5.2024;1879
22.6.2024;1909
22.7.2024;1936
22.8.2024;1961
